ID;Nom;Catégorie
30;Kombu;Algue
52;Origan;Aromate
19;Champignon de Paris;Champignon
8;Farine T55;Céréale & Grain
36;Capre;Fromage
13;Avocat;Fruit
5;Pomme Granny Smith;Fruit
136;Araignée de mer;Fruits de mer
137;Bernad l'Hermite;Fruits de mer
157;Bigorneaux;Fruits de mer
138;Bulot;Fruits de mer
139;Cigales de mer;Fruits de mer
154;Coques;Fruits de mer
151;Coquille Saint-Jacques;Fruits de mer
155;Crabe;Fruits de mer
156;Crevettes grises;Fruits de mer
159;Crevettes roses;Fruits de mer
142;Encornet;Fruits de mer
141;Homard;Fruits de mer
143;Huîtres;Fruits de mer
144;Langouste;Fruits de mer
145;Langoustine;Fruits de mer
146;Moules;Fruits de mer
147;Oursin;Fruits de mer
160;Palourde;Fruits de mer
148;Palourdes;Fruits de mer
150;Poulpe;Fruits de mer
149;Pétoncle;Fruits de mer
158;Seiche;Fruits de mer
152;Tellines;Fruits de mer
153;Tourteau;Fruits de mer
140;Écrevisse;Fruits de mer
6;Basilic Grand Vert;Herbe Aromatique
10;Artichaut;Légume
11;Asperge;Légume
12;Aubergine;Légume
14;Bette à carde;Légume
15;Blette;Légume
16;Brocoli;Légume
17;Carotte;Légume
1;Carotte des Sables;Légume
18;Champignons Larousse Medica;Légume
21;Chou;Légume
22;Chou de Bruxelles;Légume
20;Chou-fleur blanc;Légume
9;Ciboule;Légume
23;Citrouille;Légume
24;Concombre;Légume
25;Courge;Légume
26;Courgette;Légume
27;Cresson;Légume
28;Dachine;Légume
32;Endive;Légume
44;Oignon en poudre;Légume
29;Radis Daikon;Légume
31;Échalote;Légume
33;Épinard;Légume
108;Anguille découpée;Poissons
109;Bar;Poissons
111;Brochet (filet);Poissons
112;Cabillaud filet;Poissons
114;Carrelet;Poissons
115;Colin;Poissons
117;Daurade;Poissons
118;Daurade filet;Poissons
121;Espadon filet;Poissons
122;Esturgeon;Poissons
123;Esturgeon filet;Poissons
110;Filet de bar;Poissons
113;Filet de carpe;Poissons
116;Filet de colin;Poissons
125;Filet de fletan;Poissons
128;Filet de lieu noir;Poissons
132;Filet de loup de mer;Poissons
124;Flétan;Poissons
126;Hareng;Poissons
127;Julienne Filet;Poissons
129;Lieu noir;Poissons
130;Limande;Poissons
131;Limande filet;Poissons
133;Maigre filet;Poissons
135;Maquereau;Poissons
134;Maquereau (filet);Poissons
3;Saumon Écossais;Poissons
119;Églefin filet;Poissons
120;Éperlan;Poissons
7;Beurre AOP Charentes;Produit Laitier
2;Boeuf de Kobé;Viande Bovine
43;Ail en poudre;Épice
34;Anis étoilé;Épice
35;Cannelle;Épice
37;Cardamome;Épice
49;Carvi;Épice
38;Cumin;Épice
39;Curcuma;Épice
40;Curry;Épice
53;Gingembre;Épice
50;Girofle;Épice
54;Graines de fenouil;Épice
41;Muscade;Épice
42;Paprika;Épice
47;Poivre blanc;Épice
48;Poivre noir;Épice
45;Poudre de chili;Épice
46;Ras el hanout;Épice
51;Safran;Épice
4;Vanille Bourbon;Épice
